id_offer,offer_successful,reward,duration,difficulty,offer_bogo,offer_discount,income,membership_days,gender_F,gender_M,gender_O,Baby_Boomer,Gen-X,Millenial,Gen-Z
7.0,1,0.375,0.40000000000000013,0.0,1,0,0.7777777777777778,1314,1,0,0,1,0,0,0
3.0,0,0.0,0.40000000000000013,0.3333333333333333,0,1,0.4444444444444444,962,0,1,0,1,0,0,0
9.0,1,0.375,0.0,0.0,1,0,0.25555555555555554,1038,0,1,0,1,0,0,0
1.0,0,0.375,1.0,1.0,0,1,0.30000000000000004,1189,1,0,0,1,0,0,0
1.0,0,0.375,1.0,1.0,0,1,0.4555555555555556,1767,1,0,0,1,0,0,0
8.0,1,1.0,0.40000000000000013,0.3333333333333333,1,0,0.7777777777777778,1191,0,1,0,1,0,0,0
1.0,1,0.375,1.0,1.0,0,1,0.25555555555555554,1305,1,0,0,1,0,0,0
10.0,1,0.0,1.0,0.3333333333333333,0,1,0.43333333333333335,2681,0,1,0,0,1,0,0
1.0,1,0.375,1.0,1.0,0,1,0.6444444444444445,960,1,0,0,1,0,0,0
7.0,0,0.375,0.40000000000000013,0.0,1,0,0.12222222222222223,2153,0,1,0,1,0,0,0
8.0,0,1.0,0.40000000000000013,0.3333333333333333,1,0,0.4444444444444444,1175,0,1,0,0,0,0,1
3.0,1,0.0,0.40000000000000013,0.3333333333333333,0,1,0.6555555555555556,1122,1,0,0,1,0,0,0
7.0,1,0.375,0.40000000000000013,0.0,1,0,0.033333333333333326,1618,0,1,0,0,1,0,0
5.0,1,1.0,0.0,0.3333333333333333,1,0,0.30000000000000004,1582,1,0,0,1,0,0,0
2.0,1,0.125,0.40000000000000013,0.13333333333333336,0,1,0.3666666666666667,1219,1,0,0,0,0,1,0
9.0,1,0.375,0.0,0.0,1,0,0.1111111111111111,1858,0,1,0,1,0,0,0
8.0,0,1.0,0.40000000000000013,0.3333333333333333,1,0,0.0,1616,1,0,0,0,0,0,1
7.0,1,0.375,0.40000000000000013,0.0,1,0,0.033333333333333326,890,0,1,0,0,1,0,0
7.0,0,0.375,0.40000000000000013,0.0,1,0,0.5555555555555556,1405,1,0,0,0,1,0,0
7.0,0,0.375,0.40000000000000013,0.0,1,0,0.19999999999999996,2069,1,0,0,1,0,0,0
5.0,0,1.0,0.0,0.3333333333333333,1,0,0.08888888888888885,980,1,0,0,1,0,0,0
10.0,1,0.0,1.0,0.3333333333333333,0,1,0.25555555555555554,1521,1,0,0,0,1,0,0
8.0,1,1.0,0.40000000000000013,0.3333333333333333,1,0,0.688888888888889,1308,0,1,0,0,1,0,0
3.0,1,0.0,0.40000000000000013,0.3333333333333333,0,1,0.7333333333333333,1792,0,1,0,0,1,0,0
7.0,1,0.375,0.40000000000000013,0.0,1,0,0.08888888888888885,1097,0,1,0,1,0,0,0
8.0,1,1.0,0.40000000000000013,0.3333333333333333,1,0,0.7000000000000001,1526,1,0,0,1,0,0,0
9.0,1,0.375,0.0,0.0,1,0,0.055555555555555525,1176,0,1,0,0,1,0,0
3.0,1,0.0,0.40000000000000013,0.3333333333333333,0,1,0.28888888888888886,884,0,1,0,1,0,0,0
5.0,0,1.0,0.0,0.3333333333333333,1,0,0.15555555555555556,1144,0,1,0,0,0,1,0
9.0,1,0.375,0.0,0.0,1,0,0.6333333333333333,1208,0,1,0,1,0,0,0
2.0,1,0.125,0.40000000000000013,0.13333333333333336,0,1,0.5111111111111111,1386,0,1,0,1,0,0,0
8.0,0,1.0,0.40000000000000013,0.3333333333333333,1,0,0.37777777777777777,2296,0,1,0,1,0,0,0
2.0,1,0.125,0.40000000000000013,0.13333333333333336,0,1,0.4666666666666667,1621,1,0,0,0,1,0,0
5.0,1,1.0,0.0,0.3333333333333333,1,0,0.9666666666666667,1443,1,0,0,0,1,0,0
9.0,0,0.375,0.0,0.0,1,0,0.2777777777777778,1144,1,0,0,0,1,0,0
3.0,0,0.0,0.40000000000000013,0.3333333333333333,0,1,0.9111111111111111,1129,1,0,0,1,0,0,0
9.0,1,0.375,0.0,0.0,1,0,0.6111111111111112,1053,1,0,0,1,0,0,0
8.0,0,1.0,0.40000000000000013,0.3333333333333333,1,0,0.4555555555555556,894,0,1,0,1,0,0,0
9.0,0,0.375,0.0,0.0,1,0,0.25555555555555554,1020,0,1,0,0,1,0,0
3.0,1,0.0,0.40000000000000013,0.3333333333333333,0,1,0.4,1401,0,1,0,0,1,0,0
5.0,1,1.0,0.0,0.3333333333333333,1,0,0.3111111111111111,1859,0,1,0,1,0,0,0
10.0,1,0.0,1.0,0.3333333333333333,0,1,0.25555555555555554,1449,1,0,0,0,1,0,0
9.0,0,0.375,0.0,0.0,1,0,0.48888888888888893,914,1,0,0,1,0,0,0
2.0,1,0.125,0.40000000000000013,0.13333333333333336,0,1,0.30000000000000004,1345,1,0,0,0,1,0,0
3.0,1,0.0,0.40000000000000013,0.3333333333333333,0,1,0.7555555555555556,1118,0,1,0,1,0,0,0
10.0,1,0.0,1.0,0.3333333333333333,0,1,0.9888888888888888,1191,1,0,0,1,0,0,0
10.0,1,0.0,1.0,0.3333333333333333,0,1,0.23333333333333328,987,0,1,0,1,0,0,0
2.0,1,0.125,0.40000000000000013,0.13333333333333336,0,1,0.7000000000000001,1317,1,0,0,0,1,0,0
8.0,1,1.0,0.40000000000000013,0.3333333333333333,1,0,0.7555555555555556,1830,1,0,0,1,0,0,0
1.0,0,0.375,1.0,1.0,0,1,0.6,1596,1,0,0,1,0,0,0
5.0,0,1.0,0.0,0.3333333333333333,1,0,0.2666666666666666,1216,0,1,0,0,1,0,0
2.0,1,0.125,0.40000000000000013,0.13333333333333336,0,1,0.21111111111111114,1785,0,1,0,1,0,0,0
10.0,1,0.0,1.0,0.3333333333333333,0,1,0.47777777777777775,1520,1,0,0,0,0,0,1
8.0,1,1.0,0.40000000000000013,0.3333333333333333,1,0,0.3111111111111111,1031,1,0,0,1,0,0,0
8.0,1,1.0,0.40000000000000013,0.3333333333333333,1,0,0.4666666666666667,1585,1,0,0,1,0,0,0
